,1Y,3Y,5Y,10Y,Since Inception
DSP Midcap Fund,0.14345413270436894,0.19422138381418233,0.17935977190472044,0.1693342881342171,0.17849700348336642
HDFC Corporate Bond Fund,0.07799214259684628,0.08297664828125295,0.07397560945802056,0.07573095007731878,0.07811481257194847
HDFC Large and Mid Cap Fund,0.16133099927628242,0.19867650654409674,0.215340304972862,0.18711289126300362,0.173819600127477
ICICI Prudential Balanced Advantage Fund,0.15319183455294322,0.1455342963592837,0.14001040570973872,0.13105065695092674,0.13116820686564318
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),0.1569191819328184,0.18251455259584315,0.18654793483680399,0.17083749959578434,0.1650227813602116
Nippon India Small Cap Fund,0.09573156044782759,0.19212986455913977,0.24536836447218643,0.23876251080488553,0.24823011461723196
SBI Large & Midcap Fund,0.15608777333389678,0.17862163213495982,0.1916487135606061,0.1788130405038831,0.1762408328462073
UTI Nifty 50 Index Fund,0.15624250448740853,0.1432594909681909,0.14375675285249745,0.14539187554317862,0.1387847344841418
