fund_name,nav_date,nav_value
DSP Midcap Fund – Direct Plan – Growth,2013-09-02,15.212
DSP Midcap Fund – Direct Plan – Growth,2013-09-03,15.044
DSP Midcap Fund – Direct Plan – Growth,2013-09-04,15.227
DSP Midcap Fund – Direct Plan – Growth,2013-09-05,15.436
DSP Midcap Fund – Direct Plan – Growth,2013-09-06,15.45
DSP Midcap Fund – Direct Plan – Growth,2013-09-10,15.731
DSP Midcap Fund – Direct Plan – Growth,2013-09-11,15.938
DSP Midcap Fund – Direct Plan – Growth,2013-09-12,16.028
DSP Midcap Fund – Direct Plan – Growth,2013-09-13,16.061
DSP Midcap Fund – Direct Plan – Growth,2013-09-16,16.023
DSP Midcap Fund – Direct Plan – Growth,2013-09-17,15.965
DSP Midcap Fund – Direct Plan – Growth,2013-09-18,16.108
DSP Midcap Fund – Direct Plan – Growth,2013-09-19,16.367
DSP Midcap Fund – Direct Plan – Growth,2013-09-20,16.181
DSP Midcap Fund – Direct Plan – Growth,2013-09-23,16.051
DSP Midcap Fund – Direct Plan – Growth,2013-09-24,16.128
DSP Midcap Fund – Direct Plan – Growth,2013-09-25,16.192
DSP Midcap Fund – Direct Plan – Growth,2013-09-26,16.177
DSP Midcap Fund – Direct Plan – Growth,2013-09-27,16.259
DSP Midcap Fund – Direct Plan – Growth,2013-09-30,16.39
DSP Midcap Fund – Direct Plan – Growth,2013-10-01,16.52
DSP Midcap Fund – Direct Plan – Growth,2013-10-03,16.748
DSP Midcap Fund – Direct Plan – Growth,2013-10-04,16.9
DSP Midcap Fund – Direct Plan – Growth,2013-10-07,17.103
DSP Midcap Fund – Direct Plan – Growth,2013-10-08,17.24
DSP Midcap Fund – Direct Plan – Growth,2013-10-09,17.366
DSP Midcap Fund – Direct Plan – Growth,2013-10-10,17.494
DSP Midcap Fund – Direct Plan – Growth,2013-10-11,17.474
DSP Midcap Fund – Direct Plan – Growth,2013-10-14,17.514
DSP Midcap Fund – Direct Plan – Growth,2013-10-15,17.464
DSP Midcap Fund – Direct Plan – Growth,2013-10-17,17.398
DSP Midcap Fund – Direct Plan – Growth,2013-10-18,17.531
DSP Midcap Fund – Direct Plan – Growth,2013-10-21,17.608
DSP Midcap Fund – Direct Plan – Growth,2013-10-22,17.751
DSP Midcap Fund – Direct Plan – Growth,2013-10-23,17.746
DSP Midcap Fund – Direct Plan – Growth,2013-10-24,17.802
DSP Midcap Fund – Direct Plan – Growth,2013-10-25,17.771
DSP Midcap Fund – Direct Plan – Growth,2013-10-28,17.663
DSP Midcap Fund – Direct Plan – Growth,2013-10-29,17.92
DSP Midcap Fund – Direct Plan – Growth,2013-10-30,18.056
DSP Midcap Fund – Direct Plan – Growth,2013-10-31,18.331
DSP Midcap Fund – Direct Plan – Growth,2013-11-01,18.484
DSP Midcap Fund – Direct Plan – Growth,2013-11-05,18.598
DSP Midcap Fund – Direct Plan – Growth,2013-11-06,18.544
DSP Midcap Fund – Direct Plan – Growth,2013-11-07,18.419
DSP Midcap Fund – Direct Plan – Growth,2013-11-08,18.447
DSP Midcap Fund – Direct Plan – Growth,2013-11-11,18.439
DSP Midcap Fund – Direct Plan – Growth,2013-11-12,18.3
DSP Midcap Fund – Direct Plan – Growth,2013-11-13,18.154
DSP Midcap Fund – Direct Plan – Growth,2013-11-14,18.347
DSP Midcap Fund – Direct Plan – Growth,2013-11-18,18.582
DSP Midcap Fund – Direct Plan – Growth,2013-11-19,18.625
DSP Midcap Fund – Direct Plan – Growth,2013-11-20,18.648
DSP Midcap Fund – Direct Plan – Growth,2013-11-21,18.423
DSP Midcap Fund – Direct Plan – Growth,2013-11-22,18.502
DSP Midcap Fund – Direct Plan – Growth,2013-11-25,18.626
DSP Midcap Fund – Direct Plan – Growth,2013-11-26,18.591
DSP Midcap Fund – Direct Plan – Growth,2013-11-27,18.66
DSP Midcap Fund – Direct Plan – Growth,2013-11-28,18.917
DSP Midcap Fund – Direct Plan – Growth,2013-11-29,19.084
DSP Midcap Fund – Direct Plan – Growth,2013-12-02,19.365
DSP Midcap Fund – Direct Plan – Growth,2013-12-03,19.433
DSP Midcap Fund – Direct Plan – Growth,2013-12-04,19.323
DSP Midcap Fund – Direct Plan – Growth,2013-12-05,19.406
DSP Midcap Fund – Direct Plan – Growth,2013-12-06,19.453
DSP Midcap Fund – Direct Plan – Growth,2013-12-09,19.446
DSP Midcap Fund – Direct Plan – Growth,2013-12-10,19.448
DSP Midcap Fund – Direct Plan – Growth,2013-12-11,19.376
DSP Midcap Fund – Direct Plan – Growth,2013-12-12,19.351
DSP Midcap Fund – Direct Plan – Growth,2013-12-13,19.108
DSP Midcap Fund – Direct Plan – Growth,2013-12-16,19.211
DSP Midcap Fund – Direct Plan – Growth,2013-12-17,19.251
DSP Midcap Fund – Direct Plan – Growth,2013-12-18,19.505
DSP Midcap Fund – Direct Plan – Growth,2013-12-19,19.571
DSP Midcap Fund – Direct Plan – Growth,2013-12-20,20.025
DSP Midcap Fund – Direct Plan – Growth,2013-12-23,20.178
DSP Midcap Fund – Direct Plan – Growth,2013-12-24,20.404
DSP Midcap Fund – Direct Plan – Growth,2013-12-26,20.4
DSP Midcap Fund – Direct Plan – Growth,2013-12-27,20.412
DSP Midcap Fund – Direct Plan – Growth,2013-12-30,20.447
DSP Midcap Fund – Direct Plan – Growth,2013-12-31,20.628
DSP Midcap Fund – Direct Plan – Growth,2014-01-01,20.725
DSP Midcap Fund – Direct Plan – Growth,2014-01-02,20.387
DSP Midcap Fund – Direct Plan – Growth,2014-01-03,20.454
DSP Midcap Fund – Direct Plan – Growth,2014-01-06,20.681
DSP Midcap Fund – Direct Plan – Growth,2014-01-07,20.617
DSP Midcap Fund – Direct Plan – Growth,2014-01-08,20.716
DSP Midcap Fund – Direct Plan – Growth,2014-01-09,20.556
DSP Midcap Fund – Direct Plan – Growth,2014-01-10,20.416
DSP Midcap Fund – Direct Plan – Growth,2014-01-13,20.458
DSP Midcap Fund – Direct Plan – Growth,2014-01-14,20.323
DSP Midcap Fund – Direct Plan – Growth,2014-01-15,20.412
DSP Midcap Fund – Direct Plan – Growth,2014-01-16,20.307
DSP Midcap Fund – Direct Plan – Growth,2014-01-17,19.984
DSP Midcap Fund – Direct Plan – Growth,2014-01-20,20.232
DSP Midcap Fund – Direct Plan – Growth,2014-01-21,20.352
DSP Midcap Fund – Direct Plan – Growth,2014-01-22,20.408
DSP Midcap Fund – Direct Plan – Growth,2014-01-23,20.292
DSP Midcap Fund – Direct Plan – Growth,2014-01-24,19.907
DSP Midcap Fund – Direct Plan – Growth,2014-01-27,19.338
DSP Midcap Fund – Direct Plan – Growth,2014-01-28,19.382
DSP Midcap Fund – Direct Plan – Growth,2014-01-29,19.389
DSP Midcap Fund – Direct Plan – Growth,2014-01-30,19.146
DSP Midcap Fund – Direct Plan – Growth,2014-01-31,19.398
DSP Midcap Fund – Direct Plan – Growth,2014-02-03,19.213
DSP Midcap Fund – Direct Plan – Growth,2014-02-04,19.185
