fund_name,nav_date,nav_value
DSP Midcap Fund – Direct Plan – Growth,2021-10-14,104.209
DSP Midcap Fund – Direct Plan – Growth,2021-10-18,104.723
DSP Midcap Fund – Direct Plan – Growth,2021-10-19,103.209
DSP Midcap Fund – Direct Plan – Growth,2021-10-20,100.985
DSP Midcap Fund – Direct Plan – Growth,2021-10-21,100.206
DSP Midcap Fund – Direct Plan – Growth,2021-10-22,100.01
DSP Midcap Fund – Direct Plan – Growth,2021-10-25,98.737
DSP Midcap Fund – Direct Plan – Growth,2021-10-26,100.068
DSP Midcap Fund – Direct Plan – Growth,2021-10-27,100.262
DSP Midcap Fund – Direct Plan – Growth,2021-10-28,99.359
DSP Midcap Fund – Direct Plan – Growth,2021-10-29,99.458
DSP Midcap Fund – Direct Plan – Growth,2021-11-01,100.119
DSP Midcap Fund – Direct Plan – Growth,2021-11-02,100.672
DSP Midcap Fund – Direct Plan – Growth,2021-11-03,100.461
DSP Midcap Fund – Direct Plan – Growth,2021-11-08,102.714
DSP Midcap Fund – Direct Plan – Growth,2021-11-09,103.419
DSP Midcap Fund – Direct Plan – Growth,2021-11-10,103.113
DSP Midcap Fund – Direct Plan – Growth,2021-11-11,101.963
DSP Midcap Fund – Direct Plan – Growth,2021-11-12,102.703
DSP Midcap Fund – Direct Plan – Growth,2021-11-15,102.485
DSP Midcap Fund – Direct Plan – Growth,2021-11-16,102.278
DSP Midcap Fund – Direct Plan – Growth,2021-11-17,101.614
DSP Midcap Fund – Direct Plan – Growth,2021-11-18,100.121
DSP Midcap Fund – Direct Plan – Growth,2021-11-22,97.617
DSP Midcap Fund – Direct Plan – Growth,2021-11-23,98.599
DSP Midcap Fund – Direct Plan – Growth,2021-11-24,98.182
DSP Midcap Fund – Direct Plan – Growth,2021-11-25,98.36
DSP Midcap Fund – Direct Plan – Growth,2021-11-26,95.371
DSP Midcap Fund – Direct Plan – Growth,2021-11-29,94.968
DSP Midcap Fund – Direct Plan – Growth,2021-11-30,95.996
DSP Midcap Fund – Direct Plan – Growth,2021-12-01,96.725
DSP Midcap Fund – Direct Plan – Growth,2021-12-02,97.671
DSP Midcap Fund – Direct Plan – Growth,2021-12-03,97.463
DSP Midcap Fund – Direct Plan – Growth,2021-12-06,96.093
DSP Midcap Fund – Direct Plan – Growth,2021-12-07,97.145
DSP Midcap Fund – Direct Plan – Growth,2021-12-08,98.464
DSP Midcap Fund – Direct Plan – Growth,2021-12-09,98.656
DSP Midcap Fund – Direct Plan – Growth,2021-12-10,99.27
DSP Midcap Fund – Direct Plan – Growth,2021-12-13,99.015
DSP Midcap Fund – Direct Plan – Growth,2021-12-14,98.699
DSP Midcap Fund – Direct Plan – Growth,2021-12-15,98.088
DSP Midcap Fund – Direct Plan – Growth,2021-12-16,97.575
DSP Midcap Fund – Direct Plan – Growth,2021-12-17,95.988
DSP Midcap Fund – Direct Plan – Growth,2021-12-20,93.648
DSP Midcap Fund – Direct Plan – Growth,2021-12-21,94.399
DSP Midcap Fund – Direct Plan – Growth,2021-12-22,95.425
DSP Midcap Fund – Direct Plan – Growth,2021-12-23,96.298
DSP Midcap Fund – Direct Plan – Growth,2021-12-24,95.38
DSP Midcap Fund – Direct Plan – Growth,2021-12-27,95.421
DSP Midcap Fund – Direct Plan – Growth,2021-12-28,96.494
DSP Midcap Fund – Direct Plan – Growth,2021-12-29,96.681
DSP Midcap Fund – Direct Plan – Growth,2021-12-30,96.751
DSP Midcap Fund – Direct Plan – Growth,2021-12-31,97.778
DSP Midcap Fund – Direct Plan – Growth,2022-01-03,98.947
DSP Midcap Fund – Direct Plan – Growth,2022-01-04,99.382
DSP Midcap Fund – Direct Plan – Growth,2022-01-05,99.607
DSP Midcap Fund – Direct Plan – Growth,2022-01-06,99.405
DSP Midcap Fund – Direct Plan – Growth,2022-01-07,100.091
DSP Midcap Fund – Direct Plan – Growth,2022-01-10,100.858
DSP Midcap Fund – Direct Plan – Growth,2022-01-11,101.029
DSP Midcap Fund – Direct Plan – Growth,2022-01-12,102.475
DSP Midcap Fund – Direct Plan – Growth,2022-01-13,102.833
DSP Midcap Fund – Direct Plan – Growth,2022-01-14,102.891
DSP Midcap Fund – Direct Plan – Growth,2022-01-17,103.312
DSP Midcap Fund – Direct Plan – Growth,2022-01-18,101.683
DSP Midcap Fund – Direct Plan – Growth,2022-01-19,101.436
DSP Midcap Fund – Direct Plan – Growth,2022-01-20,101.105
DSP Midcap Fund – Direct Plan – Growth,2022-01-21,99.273
DSP Midcap Fund – Direct Plan – Growth,2022-01-24,96.27
DSP Midcap Fund – Direct Plan – Growth,2022-01-25,96.723
DSP Midcap Fund – Direct Plan – Growth,2022-01-27,95.855
DSP Midcap Fund – Direct Plan – Growth,2022-01-28,96.874
DSP Midcap Fund – Direct Plan – Growth,2022-01-31,97.693
DSP Midcap Fund – Direct Plan – Growth,2022-02-01,98.599
DSP Midcap Fund – Direct Plan – Growth,2022-02-02,98.997
DSP Midcap Fund – Direct Plan – Growth,2022-02-03,97.863
DSP Midcap Fund – Direct Plan – Growth,2022-02-04,97.335
DSP Midcap Fund – Direct Plan – Growth,2022-02-07,96.393
DSP Midcap Fund – Direct Plan – Growth,2022-02-08,95.709
DSP Midcap Fund – Direct Plan – Growth,2022-02-09,96.913
DSP Midcap Fund – Direct Plan – Growth,2022-02-10,96.934
DSP Midcap Fund – Direct Plan – Growth,2022-02-11,95.033
DSP Midcap Fund – Direct Plan – Growth,2022-02-14,91.893
DSP Midcap Fund – Direct Plan – Growth,2022-02-15,93.944
DSP Midcap Fund – Direct Plan – Growth,2022-02-16,93.846
DSP Midcap Fund – Direct Plan – Growth,2022-02-17,93.201
DSP Midcap Fund – Direct Plan – Growth,2022-02-18,92.868
DSP Midcap Fund – Direct Plan – Growth,2022-02-21,92.013
DSP Midcap Fund – Direct Plan – Growth,2022-02-22,91.607
DSP Midcap Fund – Direct Plan – Growth,2022-02-23,91.922
DSP Midcap Fund – Direct Plan – Growth,2022-02-24,88.06
DSP Midcap Fund – Direct Plan – Growth,2022-02-25,90.479
DSP Midcap Fund – Direct Plan – Growth,2022-02-28,91.167
DSP Midcap Fund – Direct Plan – Growth,2022-03-02,90.493
DSP Midcap Fund – Direct Plan – Growth,2022-03-03,89.629
DSP Midcap Fund – Direct Plan – Growth,2022-03-04,87.866
DSP Midcap Fund – Direct Plan – Growth,2022-03-07,86.236
DSP Midcap Fund – Direct Plan – Growth,2022-03-08,87.43
DSP Midcap Fund – Direct Plan – Growth,2022-03-09,88.463
DSP Midcap Fund – Direct Plan – Growth,2022-03-10,89.422
DSP Midcap Fund – Direct Plan – Growth,2022-03-11,90.217
DSP Midcap Fund – Direct Plan – Growth,2022-03-14,90.291
DSP Midcap Fund – Direct Plan – Growth,2022-03-15,90.133
DSP Midcap Fund – Direct Plan – Growth,2022-03-16,91.61
DSP Midcap Fund – Direct Plan – Growth,2022-03-17,92.913
DSP Midcap Fund – Direct Plan – Growth,2022-03-21,92.557
DSP Midcap Fund – Direct Plan – Growth,2022-03-22,92.55
DSP Midcap Fund – Direct Plan – Growth,2022-03-23,92.292
DSP Midcap Fund – Direct Plan – Growth,2022-03-24,92.058
DSP Midcap Fund – Direct Plan – Growth,2022-03-25,91.776
DSP Midcap Fund – Direct Plan – Growth,2022-03-28,91.343
DSP Midcap Fund – Direct Plan – Growth,2022-03-29,92.214
DSP Midcap Fund – Direct Plan – Growth,2022-03-30,92.702
DSP Midcap Fund – Direct Plan – Growth,2022-03-31,92.875
DSP Midcap Fund – Direct Plan – Growth,2022-04-01,93.308
DSP Midcap Fund – Direct Plan – Growth,2022-04-04,94.396
DSP Midcap Fund – Direct Plan – Growth,2022-04-05,95.479
DSP Midcap Fund – Direct Plan – Growth,2022-04-06,95.549
DSP Midcap Fund – Direct Plan – Growth,2022-04-07,94.783
DSP Midcap Fund – Direct Plan – Growth,2022-04-08,95.976
DSP Midcap Fund – Direct Plan – Growth,2022-04-11,96.318
DSP Midcap Fund – Direct Plan – Growth,2022-04-12,95.277
DSP Midcap Fund – Direct Plan – Growth,2022-04-13,95.195
DSP Midcap Fund – Direct Plan – Growth,2022-04-18,94.637
DSP Midcap Fund – Direct Plan – Growth,2022-04-19,93.488
DSP Midcap Fund – Direct Plan – Growth,2022-04-20,93.626
DSP Midcap Fund – Direct Plan – Growth,2022-04-21,94.747
DSP Midcap Fund – Direct Plan – Growth,2022-04-22,93.977
DSP Midcap Fund – Direct Plan – Growth,2022-04-25,92.656
DSP Midcap Fund – Direct Plan – Growth,2022-04-26,93.75
DSP Midcap Fund – Direct Plan – Growth,2022-04-27,93.049
DSP Midcap Fund – Direct Plan – Growth,2022-04-28,93.824
DSP Midcap Fund – Direct Plan – Growth,2022-04-29,93.147
DSP Midcap Fund – Direct Plan – Growth,2022-05-02,92.892
DSP Midcap Fund – Direct Plan – Growth,2022-05-04,91.166
DSP Midcap Fund – Direct Plan – Growth,2022-05-05,91.134
DSP Midcap Fund – Direct Plan – Growth,2022-05-06,89.383
DSP Midcap Fund – Direct Plan – Growth,2022-05-09,88.354
DSP Midcap Fund – Direct Plan – Growth,2022-05-10,86.795
DSP Midcap Fund – Direct Plan – Growth,2022-05-11,86.509
DSP Midcap Fund – Direct Plan – Growth,2022-05-12,84.896
DSP Midcap Fund – Direct Plan – Growth,2022-05-13,84.797
DSP Midcap Fund – Direct Plan – Growth,2022-05-16,85.746
DSP Midcap Fund – Direct Plan – Growth,2022-05-17,87.678
DSP Midcap Fund – Direct Plan – Growth,2022-05-18,87.645
DSP Midcap Fund – Direct Plan – Growth,2022-05-19,85.562
DSP Midcap Fund – Direct Plan – Growth,2022-05-20,86.835
DSP Midcap Fund – Direct Plan – Growth,2022-05-23,86.779
DSP Midcap Fund – Direct Plan – Growth,2022-05-24,86.215
DSP Midcap Fund – Direct Plan – Growth,2022-05-25,84.685
DSP Midcap Fund – Direct Plan – Growth,2022-05-26,85.377
DSP Midcap Fund – Direct Plan – Growth,2022-05-27,86.299
DSP Midcap Fund – Direct Plan – Growth,2022-05-30,88.379
DSP Midcap Fund – Direct Plan – Growth,2022-05-31,88.572
DSP Midcap Fund – Direct Plan – Growth,2022-06-01,88.73
DSP Midcap Fund – Direct Plan – Growth,2022-06-02,88.807
DSP Midcap Fund – Direct Plan – Growth,2022-06-03,87.454
DSP Midcap Fund – Direct Plan – Growth,2022-06-06,87.234
DSP Midcap Fund – Direct Plan – Growth,2022-06-07,86.545
DSP Midcap Fund – Direct Plan – Growth,2022-06-08,86.057
DSP Midcap Fund – Direct Plan – Growth,2022-06-09,86.467
DSP Midcap Fund – Direct Plan – Growth,2022-06-10,85.861
DSP Midcap Fund – Direct Plan – Growth,2022-06-13,83.92
DSP Midcap Fund – Direct Plan – Growth,2022-06-14,83.911
DSP Midcap Fund – Direct Plan – Growth,2022-06-15,84.403
DSP Midcap Fund – Direct Plan – Growth,2022-06-16,82.423
DSP Midcap Fund – Direct Plan – Growth,2022-06-17,82.092
DSP Midcap Fund – Direct Plan – Growth,2022-06-20,81.197
DSP Midcap Fund – Direct Plan – Growth,2022-06-21,82.684
DSP Midcap Fund – Direct Plan – Growth,2022-06-22,81.676
DSP Midcap Fund – Direct Plan – Growth,2022-06-23,82.688
DSP Midcap Fund – Direct Plan – Growth,2022-06-24,83.67
DSP Midcap Fund – Direct Plan – Growth,2022-06-27,84.682
DSP Midcap Fund – Direct Plan – Growth,2022-06-28,84.509
DSP Midcap Fund – Direct Plan – Growth,2022-06-29,84.169
DSP Midcap Fund – Direct Plan – Growth,2022-06-30,83.709
DSP Midcap Fund – Direct Plan – Growth,2022-07-01,84.391
DSP Midcap Fund – Direct Plan – Growth,2022-07-04,85.217
DSP Midcap Fund – Direct Plan – Growth,2022-07-05,85.145
DSP Midcap Fund – Direct Plan – Growth,2022-07-06,86.356
DSP Midcap Fund – Direct Plan – Growth,2022-07-07,87.342
DSP Midcap Fund – Direct Plan – Growth,2022-07-08,87.606
DSP Midcap Fund – Direct Plan – Growth,2022-07-11,88.524
DSP Midcap Fund – Direct Plan – Growth,2022-07-12,87.691
DSP Midcap Fund – Direct Plan – Growth,2022-07-13,87.833
DSP Midcap Fund – Direct Plan – Growth,2022-07-14,87.574
DSP Midcap Fund – Direct Plan – Growth,2022-07-15,88.013
DSP Midcap Fund – Direct Plan – Growth,2022-07-18,89.167
DSP Midcap Fund – Direct Plan – Growth,2022-07-19,89.991
DSP Midcap Fund – Direct Plan – Growth,2022-07-20,89.952
DSP Midcap Fund – Direct Plan – Growth,2022-07-21,90.435
DSP Midcap Fund – Direct Plan – Growth,2022-07-22,90.838
DSP Midcap Fund – Direct Plan – Growth,2022-07-25,90.675
DSP Midcap Fund – Direct Plan – Growth,2022-07-26,89.799
DSP Midcap Fund – Direct Plan – Growth,2022-07-27,90.621
DSP Midcap Fund – Direct Plan – Growth,2022-07-28,91.44
DSP Midcap Fund – Direct Plan – Growth,2022-07-29,92.534
DSP Midcap Fund – Direct Plan – Growth,2022-08-01,93.75
DSP Midcap Fund – Direct Plan – Growth,2022-08-02,94.081
DSP Midcap Fund – Direct Plan – Growth,2022-08-03,93.488
DSP Midcap Fund – Direct Plan – Growth,2022-08-04,93.563
DSP Midcap Fund – Direct Plan – Growth,2022-08-05,93.444
DSP Midcap Fund – Direct Plan – Growth,2022-08-08,93.59
DSP Midcap Fund – Direct Plan – Growth,2022-08-10,93.959
DSP Midcap Fund – Direct Plan – Growth,2022-08-11,94.526
DSP Midcap Fund – Direct Plan – Growth,2022-08-12,94.938
DSP Midcap Fund – Direct Plan – Growth,2022-08-16,95.675
DSP Midcap Fund – Direct Plan – Growth,2022-08-17,96.084
DSP Midcap Fund – Direct Plan – Growth,2022-08-18,96.303
DSP Midcap Fund – Direct Plan – Growth,2022-08-19,95.531
DSP Midcap Fund – Direct Plan – Growth,2022-08-22,93.826
DSP Midcap Fund – Direct Plan – Growth,2022-08-23,94.657
DSP Midcap Fund – Direct Plan – Growth,2022-08-24,95.077
DSP Midcap Fund – Direct Plan – Growth,2022-08-25,95.233
DSP Midcap Fund – Direct Plan – Growth,2022-08-26,95.647
DSP Midcap Fund – Direct Plan – Growth,2022-08-29,95.036
DSP Midcap Fund – Direct Plan – Growth,2022-08-30,96.408
DSP Midcap Fund – Direct Plan – Growth,2022-09-01,96.416
DSP Midcap Fund – Direct Plan – Growth,2022-09-02,96.249
DSP Midcap Fund – Direct Plan – Growth,2022-09-05,96.649
DSP Midcap Fund – Direct Plan – Growth,2022-09-06,96.827
DSP Midcap Fund – Direct Plan – Growth,2022-09-07,97.402
DSP Midcap Fund – Direct Plan – Growth,2022-09-08,97.738
DSP Midcap Fund – Direct Plan – Growth,2022-09-09,98.156
DSP Midcap Fund – Direct Plan – Growth,2022-09-12,99.069
DSP Midcap Fund – Direct Plan – Growth,2022-09-13,99.364
DSP Midcap Fund – Direct Plan – Growth,2022-09-14,98.7
DSP Midcap Fund – Direct Plan – Growth,2022-09-15,98.715
DSP Midcap Fund – Direct Plan – Growth,2022-09-16,96.389
DSP Midcap Fund – Direct Plan – Growth,2022-09-19,96.242
DSP Midcap Fund – Direct Plan – Growth,2022-09-20,97.692
DSP Midcap Fund – Direct Plan – Growth,2022-09-21,97.287
DSP Midcap Fund – Direct Plan – Growth,2022-09-22,97.766
DSP Midcap Fund – Direct Plan – Growth,2022-09-23,95.722
DSP Midcap Fund – Direct Plan – Growth,2022-09-26,93.637
DSP Midcap Fund – Direct Plan – Growth,2022-09-27,93.714
DSP Midcap Fund – Direct Plan – Growth,2022-09-28,93.391
DSP Midcap Fund – Direct Plan – Growth,2022-09-29,93.906
DSP Midcap Fund – Direct Plan – Growth,2022-09-30,95.055
DSP Midcap Fund – Direct Plan – Growth,2022-10-03,93.911
DSP Midcap Fund – Direct Plan – Growth,2022-10-04,95.379
DSP Midcap Fund – Direct Plan – Growth,2022-10-06,95.892
DSP Midcap Fund – Direct Plan – Growth,2022-10-07,95.455
DSP Midcap Fund – Direct Plan – Growth,2022-10-10,94.795
DSP Midcap Fund – Direct Plan – Growth,2022-10-11,93.645
DSP Midcap Fund – Direct Plan – Growth,2022-10-12,94.153
DSP Midcap Fund – Direct Plan – Growth,2022-10-13,93.483
DSP Midcap Fund – Direct Plan – Growth,2022-10-14,93.32
DSP Midcap Fund – Direct Plan – Growth,2022-10-17,94.103
DSP Midcap Fund – Direct Plan – Growth,2022-10-18,95.097
DSP Midcap Fund – Direct Plan – Growth,2022-10-19,94.959
DSP Midcap Fund – Direct Plan – Growth,2022-10-20,94.933
DSP Midcap Fund – Direct Plan – Growth,2022-10-21,94.684
DSP Midcap Fund – Direct Plan – Growth,2022-10-25,95.156
DSP Midcap Fund – Direct Plan – Growth,2022-10-27,95.679
DSP Midcap Fund – Direct Plan – Growth,2022-10-28,94.778
DSP Midcap Fund – Direct Plan – Growth,2022-10-31,95.968
DSP Midcap Fund – Direct Plan – Growth,2022-11-01,96.837
DSP Midcap Fund – Direct Plan – Growth,2022-11-02,96.89
DSP Midcap Fund – Direct Plan – Growth,2022-11-03,97.018
DSP Midcap Fund – Direct Plan – Growth,2022-11-04,96.867
DSP Midcap Fund – Direct Plan – Growth,2022-11-07,97.311
DSP Midcap Fund – Direct Plan – Growth,2022-11-09,96.605
DSP Midcap Fund – Direct Plan – Growth,2022-11-10,95.706
DSP Midcap Fund – Direct Plan – Growth,2022-11-11,95.53
DSP Midcap Fund – Direct Plan – Growth,2022-11-14,95.52
DSP Midcap Fund – Direct Plan – Growth,2022-11-15,95.625
DSP Midcap Fund – Direct Plan – Growth,2022-11-16,95.108
DSP Midcap Fund – Direct Plan – Growth,2022-11-17,94.697
DSP Midcap Fund – Direct Plan – Growth,2022-11-18,94.04
DSP Midcap Fund – Direct Plan – Growth,2022-11-21,93.893
DSP Midcap Fund – Direct Plan – Growth,2022-11-22,93.941
DSP Midcap Fund – Direct Plan – Growth,2022-11-23,94.259
DSP Midcap Fund – Direct Plan – Growth,2022-11-24,94.324
DSP Midcap Fund – Direct Plan – Growth,2022-11-25,95.03
DSP Midcap Fund – Direct Plan – Growth,2022-11-28,95.916
DSP Midcap Fund – Direct Plan – Growth,2022-11-29,95.741
DSP Midcap Fund – Direct Plan – Growth,2022-11-30,96.218
DSP Midcap Fund – Direct Plan – Growth,2022-12-01,96.854
DSP Midcap Fund – Direct Plan – Growth,2022-12-02,97.481
DSP Midcap Fund – Direct Plan – Growth,2022-12-05,97.639
DSP Midcap Fund – Direct Plan – Growth,2022-12-06,96.842
DSP Midcap Fund – Direct Plan – Growth,2022-12-07,96.287
DSP Midcap Fund – Direct Plan – Growth,2022-12-08,96.747
DSP Midcap Fund – Direct Plan – Growth,2022-12-09,96.191
DSP Midcap Fund – Direct Plan – Growth,2022-12-12,96.408
DSP Midcap Fund – Direct Plan – Growth,2022-12-13,96.527
DSP Midcap Fund – Direct Plan – Growth,2022-12-14,97.311
DSP Midcap Fund – Direct Plan – Growth,2022-12-15,96.416
DSP Midcap Fund – Direct Plan – Growth,2022-12-16,95.343
DSP Midcap Fund – Direct Plan – Growth,2022-12-19,95.639
DSP Midcap Fund – Direct Plan – Growth,2022-12-20,95.559
DSP Midcap Fund – Direct Plan – Growth,2022-12-21,94.459
DSP Midcap Fund – Direct Plan – Growth,2022-12-22,93.639
DSP Midcap Fund – Direct Plan – Growth,2022-12-23,90.847
DSP Midcap Fund – Direct Plan – Growth,2022-12-26,92.571
DSP Midcap Fund – Direct Plan – Growth,2022-12-27,93.191
DSP Midcap Fund – Direct Plan – Growth,2022-12-28,93.419
DSP Midcap Fund – Direct Plan – Growth,2022-12-29,93.465
DSP Midcap Fund – Direct Plan – Growth,2022-12-30,93.895
DSP Midcap Fund – Direct Plan – Growth,2023-01-02,94.201
DSP Midcap Fund – Direct Plan – Growth,2023-01-03,94.443
DSP Midcap Fund – Direct Plan – Growth,2023-01-04,93.613
DSP Midcap Fund – Direct Plan – Growth,2023-01-05,93.943
DSP Midcap Fund – Direct Plan – Growth,2023-01-06,93.427
DSP Midcap Fund – Direct Plan – Growth,2023-01-09,94.115
DSP Midcap Fund – Direct Plan – Growth,2023-01-10,93.829
DSP Midcap Fund – Direct Plan – Growth,2023-01-11,93.413
DSP Midcap Fund – Direct Plan – Growth,2023-01-12,93.638
DSP Midcap Fund – Direct Plan – Growth,2023-01-13,93.753
DSP Midcap Fund – Direct Plan – Growth,2023-01-16,93.598
DSP Midcap Fund – Direct Plan – Growth,2023-01-17,93.337
DSP Midcap Fund – Direct Plan – Growth,2023-01-18,93.675
DSP Midcap Fund – Direct Plan – Growth,2023-01-19,93.772
DSP Midcap Fund – Direct Plan – Growth,2023-01-20,93.079
DSP Midcap Fund – Direct Plan – Growth,2023-01-23,93.441
DSP Midcap Fund – Direct Plan – Growth,2023-01-24,93.277
DSP Midcap Fund – Direct Plan – Growth,2023-01-25,92.311
DSP Midcap Fund – Direct Plan – Growth,2023-01-27,91.482
DSP Midcap Fund – Direct Plan – Growth,2023-01-30,91.72
DSP Midcap Fund – Direct Plan – Growth,2023-01-31,93.006
DSP Midcap Fund – Direct Plan – Growth,2023-02-01,92.429
DSP Midcap Fund – Direct Plan – Growth,2023-02-02,92.696
DSP Midcap Fund – Direct Plan – Growth,2023-02-03,92.643
DSP Midcap Fund – Direct Plan – Growth,2023-02-06,93.221
DSP Midcap Fund – Direct Plan – Growth,2023-02-07,93.046
DSP Midcap Fund – Direct Plan – Growth,2023-02-08,93.571
DSP Midcap Fund – Direct Plan – Growth,2023-02-09,93.528
DSP Midcap Fund – Direct Plan – Growth,2023-02-10,93.913
DSP Midcap Fund – Direct Plan – Growth,2023-02-13,92.644
DSP Midcap Fund – Direct Plan – Growth,2023-02-14,92.207
DSP Midcap Fund – Direct Plan – Growth,2023-02-15,92.412
DSP Midcap Fund – Direct Plan – Growth,2023-02-16,93.0
DSP Midcap Fund – Direct Plan – Growth,2023-02-17,92.505
DSP Midcap Fund – Direct Plan – Growth,2023-02-20,92.367
DSP Midcap Fund – Direct Plan – Growth,2023-02-21,92.163
DSP Midcap Fund – Direct Plan – Growth,2023-02-22,91.697
DSP Midcap Fund – Direct Plan – Growth,2023-02-23,91.519
DSP Midcap Fund – Direct Plan – Growth,2023-02-24,91.64
DSP Midcap Fund – Direct Plan – Growth,2023-02-27,91.253
DSP Midcap Fund – Direct Plan – Growth,2023-02-28,91.449
DSP Midcap Fund – Direct Plan – Growth,2023-03-01,92.144
DSP Midcap Fund – Direct Plan – Growth,2023-03-02,91.691
DSP Midcap Fund – Direct Plan – Growth,2023-03-03,91.95
DSP Midcap Fund – Direct Plan – Growth,2023-03-06,92.673
DSP Midcap Fund – Direct Plan – Growth,2023-03-08,92.599
DSP Midcap Fund – Direct Plan – Growth,2023-03-09,92.049
DSP Midcap Fund – Direct Plan – Growth,2023-03-10,91.517
DSP Midcap Fund – Direct Plan – Growth,2023-03-13,89.877
DSP Midcap Fund – Direct Plan – Growth,2023-03-14,88.956
DSP Midcap Fund – Direct Plan – Growth,2023-03-15,88.668
DSP Midcap Fund – Direct Plan – Growth,2023-03-16,88.642
DSP Midcap Fund – Direct Plan – Growth,2023-03-17,89.077
DSP Midcap Fund – Direct Plan – Growth,2023-03-20,88.437
DSP Midcap Fund – Direct Plan – Growth,2023-03-21,88.931
DSP Midcap Fund – Direct Plan – Growth,2023-03-22,89.464
DSP Midcap Fund – Direct Plan – Growth,2023-03-23,88.795
DSP Midcap Fund – Direct Plan – Growth,2023-03-24,88.194
DSP Midcap Fund – Direct Plan – Growth,2023-03-27,87.8
DSP Midcap Fund – Direct Plan – Growth,2023-03-28,87.722
DSP Midcap Fund – Direct Plan – Growth,2023-03-29,88.515
DSP Midcap Fund – Direct Plan – Growth,2023-03-31,89.554
DSP Midcap Fund – Direct Plan – Growth,2023-04-03,89.862
DSP Midcap Fund – Direct Plan – Growth,2023-04-05,90.015
DSP Midcap Fund – Direct Plan – Growth,2023-04-06,90.72
DSP Midcap Fund – Direct Plan – Growth,2023-04-10,91.095
DSP Midcap Fund – Direct Plan – Growth,2023-04-11,91.327
DSP Midcap Fund – Direct Plan – Growth,2023-04-12,91.758
DSP Midcap Fund – Direct Plan – Growth,2023-04-13,92.109
DSP Midcap Fund – Direct Plan – Growth,2023-04-17,92.429
DSP Midcap Fund – Direct Plan – Growth,2023-04-18,93.046
DSP Midcap Fund – Direct Plan – Growth,2023-04-19,92.529
DSP Midcap Fund – Direct Plan – Growth,2023-04-20,92.554
DSP Midcap Fund – Direct Plan – Growth,2023-04-21,92.592
DSP Midcap Fund – Direct Plan – Growth,2023-04-24,92.742
DSP Midcap Fund – Direct Plan – Growth,2023-04-25,92.21
DSP Midcap Fund – Direct Plan – Growth,2023-04-26,92.249
DSP Midcap Fund – Direct Plan – Growth,2023-04-27,92.697
DSP Midcap Fund – Direct Plan – Growth,2023-04-28,93.76
DSP Midcap Fund – Direct Plan – Growth,2023-05-02,94.266
DSP Midcap Fund – Direct Plan – Growth,2023-05-03,94.073
DSP Midcap Fund – Direct Plan – Growth,2023-05-04,94.979
DSP Midcap Fund – Direct Plan – Growth,2023-05-05,94.14
DSP Midcap Fund – Direct Plan – Growth,2023-05-08,95.059
DSP Midcap Fund – Direct Plan – Growth,2023-05-09,95.01
DSP Midcap Fund – Direct Plan – Growth,2023-05-10,95.276
DSP Midcap Fund – Direct Plan – Growth,2023-05-11,95.745
DSP Midcap Fund – Direct Plan – Growth,2023-05-12,95.501
DSP Midcap Fund – Direct Plan – Growth,2023-05-15,96.018
DSP Midcap Fund – Direct Plan – Growth,2023-05-16,96.077
DSP Midcap Fund – Direct Plan – Growth,2023-05-17,96.32
DSP Midcap Fund – Direct Plan – Growth,2023-05-18,95.802
DSP Midcap Fund – Direct Plan – Growth,2023-05-19,95.377
DSP Midcap Fund – Direct Plan – Growth,2023-05-22,95.982
DSP Midcap Fund – Direct Plan – Growth,2023-05-23,96.188
DSP Midcap Fund – Direct Plan – Growth,2023-05-24,96.128
DSP Midcap Fund – Direct Plan – Growth,2023-05-25,96.298
DSP Midcap Fund – Direct Plan – Growth,2023-05-26,97.416
DSP Midcap Fund – Direct Plan – Growth,2023-05-29,97.65
DSP Midcap Fund – Direct Plan – Growth,2023-05-30,97.769
DSP Midcap Fund – Direct Plan – Growth,2023-05-31,97.807
DSP Midcap Fund – Direct Plan – Growth,2023-06-01,98.092
DSP Midcap Fund – Direct Plan – Growth,2023-06-02,98.611
DSP Midcap Fund – Direct Plan – Growth,2023-06-05,98.855
DSP Midcap Fund – Direct Plan – Growth,2023-06-06,98.846
DSP Midcap Fund – Direct Plan – Growth,2023-06-07,99.749
DSP Midcap Fund – Direct Plan – Growth,2023-06-08,99.582
DSP Midcap Fund – Direct Plan – Growth,2023-06-09,99.216
DSP Midcap Fund – Direct Plan – Growth,2023-06-12,99.885
DSP Midcap Fund – Direct Plan – Growth,2023-06-13,100.864
DSP Midcap Fund – Direct Plan – Growth,2023-06-14,100.991
DSP Midcap Fund – Direct Plan – Growth,2023-06-15,100.933
DSP Midcap Fund – Direct Plan – Growth,2023-06-16,101.897
DSP Midcap Fund – Direct Plan – Growth,2023-06-19,101.77
DSP Midcap Fund – Direct Plan – Growth,2023-06-20,101.841
DSP Midcap Fund – Direct Plan – Growth,2023-06-21,101.809
DSP Midcap Fund – Direct Plan – Growth,2023-06-22,101.598
DSP Midcap Fund – Direct Plan – Growth,2023-06-23,100.254
DSP Midcap Fund – Direct Plan – Growth,2023-06-26,101.332
DSP Midcap Fund – Direct Plan – Growth,2023-06-27,101.576
DSP Midcap Fund – Direct Plan – Growth,2023-06-28,101.895
DSP Midcap Fund – Direct Plan – Growth,2023-06-30,102.718
DSP Midcap Fund – Direct Plan – Growth,2023-07-03,102.674
