date,fund_name,nav,cap,fund_type
2013-02-17,DSP Midcap Fund,18.499,Mid Cap,Equity
2013-02-18,DSP Midcap Fund,18.621,Mid Cap,Equity
2013-02-19,DSP Midcap Fund,18.797,Mid Cap,Equity
2013-02-20,DSP Midcap Fund,18.809,Mid Cap,Equity
2013-02-21,DSP Midcap Fund,18.496,Mid Cap,Equity
2013-02-22,DSP Midcap Fund,18.477,Mid Cap,Equity
2013-02-23,DSP Midcap Fund,18.477,Mid Cap,Equity
2013-02-24,DSP Midcap Fund,18.477,Mid Cap,Equity
2013-02-25,DSP Midcap Fund,18.303,Mid Cap,Equity
2013-02-26,DSP Midcap Fund,18.008,Mid Cap,Equity
2013-02-27,DSP Midcap Fund,18.093,Mid Cap,Equity
2013-02-28,DSP Midcap Fund,17.648,Mid Cap,Equity
2013-03-01,DSP Midcap Fund,17.67,Mid Cap,Equity
2013-03-02,DSP Midcap Fund,17.67,Mid Cap,Equity
2013-03-03,DSP Midcap Fund,17.67,Mid Cap,Equity
2013-03-04,DSP Midcap Fund,17.477,Mid Cap,Equity
2013-03-05,DSP Midcap Fund,17.777,Mid Cap,Equity
2013-03-06,DSP Midcap Fund,17.997,Mid Cap,Equity
2013-03-07,DSP Midcap Fund,18.079,Mid Cap,Equity
2013-03-08,DSP Midcap Fund,18.207,Mid Cap,Equity
2013-03-09,DSP Midcap Fund,18.207,Mid Cap,Equity
2013-03-10,DSP Midcap Fund,18.207,Mid Cap,Equity
2013-03-11,DSP Midcap Fund,18.203,Mid Cap,Equity
2013-03-12,DSP Midcap Fund,18.163,Mid Cap,Equity
2013-03-13,DSP Midcap Fund,17.968,Mid Cap,Equity
2013-03-14,DSP Midcap Fund,18.068,Mid Cap,Equity
2013-03-15,DSP Midcap Fund,17.958,Mid Cap,Equity
2013-03-16,DSP Midcap Fund,17.958,Mid Cap,Equity
2013-03-17,DSP Midcap Fund,17.958,Mid Cap,Equity
2013-03-18,DSP Midcap Fund,17.861,Mid Cap,Equity
2013-03-19,DSP Midcap Fund,17.647,Mid Cap,Equity
2013-03-20,DSP Midcap Fund,17.331,Mid Cap,Equity
2013-03-21,DSP Midcap Fund,17.186,Mid Cap,Equity
2013-03-22,DSP Midcap Fund,17.103,Mid Cap,Equity
2013-03-23,DSP Midcap Fund,17.103,Mid Cap,Equity
2013-03-24,DSP Midcap Fund,17.103,Mid Cap,Equity
2013-03-25,DSP Midcap Fund,17.081,Mid Cap,Equity
2013-03-26,DSP Midcap Fund,17.066,Mid Cap,Equity
2013-03-27,DSP Midcap Fund,17.066,Mid Cap,Equity
2013-03-28,DSP Midcap Fund,17.299,Mid Cap,Equity
2013-03-29,DSP Midcap Fund,17.299,Mid Cap,Equity
2013-03-30,DSP Midcap Fund,17.299,Mid Cap,Equity
2013-03-31,DSP Midcap Fund,17.299,Mid Cap,Equity
2013-04-01,DSP Midcap Fund,17.553,Mid Cap,Equity
2013-04-02,DSP Midcap Fund,17.827,Mid Cap,Equity
2013-04-03,DSP Midcap Fund,17.665,Mid Cap,Equity
2013-04-04,DSP Midcap Fund,17.322,Mid Cap,Equity
2013-04-05,DSP Midcap Fund,17.312,Mid Cap,Equity
2013-04-06,DSP Midcap Fund,17.312,Mid Cap,Equity
2013-04-07,DSP Midcap Fund,17.312,Mid Cap,Equity
2013-04-08,DSP Midcap Fund,17.358,Mid Cap,Equity
2013-04-09,DSP Midcap Fund,17.209,Mid Cap,Equity
2013-04-10,DSP Midcap Fund,17.248,Mid Cap,Equity
2013-04-11,DSP Midcap Fund,17.293,Mid Cap,Equity
2013-04-12,DSP Midcap Fund,17.252,Mid Cap,Equity
2013-04-13,DSP Midcap Fund,17.252,Mid Cap,Equity
2013-04-14,DSP Midcap Fund,17.252,Mid Cap,Equity
2013-04-15,DSP Midcap Fund,17.327,Mid Cap,Equity
2013-04-16,DSP Midcap Fund,17.437,Mid Cap,Equity
2013-04-17,DSP Midcap Fund,17.448,Mid Cap,Equity
2013-04-18,DSP Midcap Fund,17.577,Mid Cap,Equity
2013-04-19,DSP Midcap Fund,17.577,Mid Cap,Equity
2013-04-20,DSP Midcap Fund,17.577,Mid Cap,Equity
